trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,shape_dist_traveled
1,25:53:00,25:53:00,10,1,0,0,0.0000
1,26:02:00,26:02:00,2,2,0,0,5.8924
1,26:12:00,26:12:00,39,3,0,0,16.4295
1,26:23:00,26:23:00,55,4,0,0,27.2915
1,26:36:00,26:36:00,9,5,0,0,40.2494
1,26:44:00,26:44:00,71,6,0,0,46.3121
1,26:54:00,26:54:00,28,7,0,0,53.5360
1,27:01:00,27:01:00,43298,8,0,0,57.3989
1,27:26:00,27:26:00,1,9,0,0,67.6532
2,06:39:00,06:39:00,10,1,0,0,0.0000
2,06:48:00,06:48:00,2,2,0,0,5.8924
2,06:59:00,06:59:00,39,3,0,0,16.4295
2,07:10:00,07:10:00,55,4,0,0,27.2915
2,07:23:00,07:23:00,9,5,0,0,40.2494
2,07:31:00,07:31:00,71,6,0,0,46.3121
2,07:41:00,07:41:00,28,7,0,0,53.5360
2,07:48:00,07:48:00,43298,8,0,0,57.3989
2,08:13:00,08:13:00,1,9,0,0,67.6532
3,07:47:00,07:47:00,10,1,0,0,0.0000
3,07:56:00,07:56:00,2,2,0,0,5.8924
3,08:07:00,08:07:00,39,3,0,0,16.4295
3,08:18:00,08:18:00,55,4,0,0,27.2915
3,08:31:00,08:31:00,9,5,0,0,40.2494
3,08:39:00,08:39:00,71,6,0,0,46.3121
3,08:49:00,08:49:00,28,7,0,0,53.5360
3,08:56:00,08:56:00,43298,8,0,0,57.3989
3,09:21:00,09:21:00,1,9,0,0,67.6532
4,08:53:00,08:53:00,10,1,0,0,0.0000
4,09:02:00,09:02:00,2,2,0,0,5.8924
4,09:13:00,09:13:00,39,3,0,0,16.4295
4,09:24:00,09:24:00,55,4,0,0,27.2915
4,09:37:00,09:37:00,9,5,0,0,40.2494
4,09:45:00,09:45:00,71,6,0,0,46.3121
4,09:55:00,09:55:00,28,7,0,0,53.5360
4,10:02:00,10:02:00,43298,8,0,0,57.3989
4,10:27:00,10:27:00,1,9,0,0,67.6532
5,10:55:00,10:55:00,10,1,0,0,0.0000
5,11:04:00,11:04:00,2,2,0,0,5.8924
5,11:15:00,11:15:00,39,3,0,0,16.4295
5,11:30:00,11:30:00,55,4,0,0,27.2915
5,11:43:00,11:43:00,9,5,0,0,40.2494
5,11:50:00,11:50:00,71,6,0,0,46.3121
5,12:01:00,12:01:00,28,7,0,0,53.5360
5,12:08:00,12:08:00,43298,8,0,0,57.3989
5,12:33:00,12:33:00,1,9,0,0,67.6532
6,12:31:00,12:31:00,10,1,0,0,0.0000
6,12:40:00,12:40:00,2,2,0,0,5.8924
6,12:50:00,12:50:00,39,3,0,0,16.4295
6,13:01:00,13:01:00,55,4,0,0,27.2915
6,13:14:00,13:14:00,9,5,0,0,40.2494
6,13:22:00,13:22:00,71,6,0,0,46.3121
6,13:32:00,13:32:00,28,7,0,0,53.5360
6,13:39:00,13:39:00,43298,8,0,0,57.3989
6,14:04:00,14:04:00,1,9,0,0,67.6532
7,14:44:00,14:44:00,10,1,0,0,0.0000
7,14:53:00,14:53:00,2,2,0,0,5.8924
7,15:04:00,15:04:00,39,3,0,0,16.4295
7,15:15:00,15:15:00,55,4,0,0,27.2915
7,15:32:00,15:32:00,9,5,0,0,40.2494
7,15:40:00,15:40:00,71,6,0,0,46.3121
7,15:50:00,15:50:00,28,7,0,0,53.5360
7,15:57:00,15:57:00,43298,8,0,0,57.3989
7,16:22:00,16:22:00,1,9,0,0,67.6532
8,15:40:00,15:40:00,10,1,0,0,0.0000
8,15:49:00,15:49:00,2,2,0,0,5.8924
8,16:00:00,16:00:00,39,3,0,0,16.4295
8,16:11:00,16:11:00,55,4,0,0,27.2915
8,16:24:00,16:24:00,9,5,0,0,40.2494
